STATE,EESTATU,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Active Full Time,135,4779736,5730,2.8244,23.5602
Alabama,Active Part Time or Seasonal,1,4779736,5730,0.0209,0.1745
Alabama,Early Retiree,31,4779736,5730,0.6486,5.4101
Alabama,Medicare Eligible Retiree,3,4779736,5730,0.0628,0.5236
Alabama,COBRA Continuee,11,4779736,5730,0.2301,1.9197
Alabama,Long Term Disability,1,4779736,5730,0.0209,0.1745
Alabama,Other/Unknown,10,4779736,5730,0.2092,1.7452
Alabama,Retiree (status unknown),0,4779736,5730,0,0
Alabama,Surviving Spouse/Depend.,0,4779736,5730,0,0
Alaska,Active Full Time,3,710231,257,0.4224,11.6732
Alaska,Active Part Time or Seasonal,0,710231,257,0,0
Alaska,Early Retiree,0,710231,257,0,0
Alaska,Medicare Eligible Retiree,0,710231,257,0,0
Alaska,Retiree (status unknown),0,710231,257,0,0
Alaska,COBRA Continuee,0,710231,257,0,0
Alaska,Long Term Disability,0,710231,257,0,0
Alaska,Surviving Spouse/Depend.,0,710231,257,0,0
Alaska,Other/Unknown,0,710231,257,0,0
Arizona,Active Full Time,214,6392017,7456,3.3479,28.7017
Arizona,Active Part Time or Seasonal,4,6392017,7456,0.0626,0.5365
Arizona,Early Retiree,13,6392017,7456,0.2034,1.7436
Arizona,Medicare Eligible Retiree,1,6392017,7456,0.0156,0.1341
Arizona,Retiree (status unknown),9,6392017,7456,0.1408,1.2071
Arizona,COBRA Continuee,15,6392017,7456,0.2347,2.0118
Arizona,Long Term Disability,2,6392017,7456,0.0313,0.2682
Arizona,Surviving Spouse/Depend.,1,6392017,7456,0.0156,0.1341
Arizona,Other/Unknown,21,6392017,7456,0.3285,2.8165
Arkansas,Active Full Time,46,2915918,2052,1.5775,22.4172
Arkansas,Active Part Time or Seasonal,1,2915918,2052,0.0343,0.4873
Arkansas,Early Retiree,5,2915918,2052,0.1715,2.4366
Arkansas,Retiree (status unknown),2,2915918,2052,0.0686,0.9747
Arkansas,Other/Unknown,4,2915918,2052,0.1372,1.9493
Arkansas,Medicare Eligible Retiree,0,2915918,2052,0,0
Arkansas,COBRA Continuee,0,2915918,2052,0,0
Arkansas,Long Term Disability,0,2915918,2052,0,0
Arkansas,Surviving Spouse/Depend.,0,2915918,2052,0,0
California,Active Full Time,1191,37253956,40228,3.197,29.6062
California,Active Part Time or Seasonal,13,37253956,40228,0.0349,0.3232
California,Early Retiree,82,37253956,40228,0.2201,2.0384
California,Medicare Eligible Retiree,14,37253956,40228,0.0376,0.348
California,Retiree (status unknown),232,37253956,40228,0.6228,5.7671
California,COBRA Continuee,49,37253956,40228,0.1315,1.2181
California,Long Term Disability,10,37253956,40228,0.0268,0.2486
California,Surviving Spouse/Depend.,2,37253956,40228,0.0054,0.0497
California,Other/Unknown,109,37253956,40228,0.2926,2.7096
Colorado,Active Full Time,115,5029196,3198,2.2866,35.96
Colorado,Active Part Time or Seasonal,3,5029196,3198,0.0597,0.9381
Colorado,Early Retiree,14,5029196,3198,0.2784,4.3777
Colorado,Retiree (status unknown),1,5029196,3198,0.0199,0.3127
Colorado,COBRA Continuee,8,5029196,3198,0.1591,2.5016
Colorado,Long Term Disability,3,5029196,3198,0.0597,0.9381
Colorado,Other/Unknown,10,5029196,3198,0.1988,3.127
Colorado,Medicare Eligible Retiree,0,5029196,3198,0,0
Colorado,Surviving Spouse/Depend.,0,5029196,3198,0,0
Connecticut,Active Full Time,138,3574097,3431,3.8611,40.2215
Connecticut,Active Part Time or Seasonal,4,3574097,3431,0.1119,1.1658
Connecticut,Early Retiree,15,3574097,3431,0.4197,4.3719
Connecticut,Medicare Eligible Retiree,1,3574097,3431,0.028,0.2915
Connecticut,COBRA Continuee,16,3574097,3431,0.4477,4.6634
Connecticut,Surviving Spouse/Depend.,1,3574097,3431,0.028,0.2915
Connecticut,Other/Unknown,19,3574097,3431,0.5316,5.5377
Connecticut,Retiree (status unknown),0,3574097,3431,0,0
Connecticut,Long Term Disability,0,3574097,3431,0,0
Delaware,Active Full Time,43,897934,2088,4.7888,20.5939
Delaware,Early Retiree,18,897934,2088,2.0046,8.6207
Delaware,Medicare Eligible Retiree,1,897934,2088,0.1114,0.4789
Delaware,Retiree (status unknown),1,897934,2088,0.1114,0.4789
Delaware,Long Term Disability,1,897934,2088,0.1114,0.4789
Delaware,Surviving Spouse/Depend.,1,897934,2088,0.1114,0.4789
Delaware,Other/Unknown,2,897934,2088,0.2227,0.9579
Delaware,Active Part Time or Seasonal,0,897934,2088,0,0
Delaware,COBRA Continuee,0,897934,2088,0,0
Florida,Active Full Time,527,18801310,14966,2.803,35.2131
Florida,Active Part Time or Seasonal,14,18801310,14966,0.0745,0.9355
Florida,Early Retiree,103,18801310,14966,0.5478,6.8823
Florida,Medicare Eligible Retiree,6,18801310,14966,0.0319,0.4009
Florida,Retiree (status unknown),2,18801310,14966,0.0106,0.1336
Florida,COBRA Continuee,57,18801310,14966,0.3032,3.8086
Florida,Long Term Disability,6,18801310,14966,0.0319,0.4009
Florida,Surviving Spouse/Depend.,2,18801310,14966,0.0106,0.1336
Florida,Other/Unknown,68,18801310,14966,0.3617,4.5436
Georgia,Active Full Time,482,9687653,22416,4.9754,21.5025
