STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,373,11536504,51710,3.2332,7.2133
Ohio,Salary Union,21,11536504,51710,0.182,0.4061
Ohio,Salary Other,182,11536504,51710,1.5776,3.5196
Ohio,Hourly Non-union,11,11536504,51710,0.0953,0.2127
Ohio,Hourly Other,19,11536504,51710,0.1647,0.3674
Ohio,Non-union,4,11536504,51710,0.0347,0.0774
Ohio,Union,11,11536504,51710,0.0953,0.2127
Ohio,Unknown,46,11536504,51710,0.3987,0.8896
Arkansas,Salary Non-union,49,2915918,6972,1.6804,7.0281
Arkansas,Salary Union,1,2915918,6972,0.0343,0.1434
Arkansas,Salary Other,5,2915918,6972,0.1715,0.7172
Arkansas,Hourly Union,2,2915918,6972,0.0686,0.2869
Arkansas,Unknown,4,2915918,6972,0.1372,0.5737
New York,Salary Non-union,332,19378102,38153,1.7133,8.7018
New York,Salary Union,3,19378102,38153,0.0155,0.0786
New York,Salary Other,81,19378102,38153,0.418,2.123
New York,Hourly Non-union,7,19378102,38153,0.0361,0.1835
New York,Hourly Other,30,19378102,38153,0.1548,0.7863
New York,Non-union,6,19378102,38153,0.031,0.1573
New York,Union,4,19378102,38153,0.0206,0.1048
New York,Unknown,25,19378102,38153,0.129,0.6553
Pennsylvania,Salary Non-union,312,12702379,29461,2.4562,10.5903
Pennsylvania,Salary Union,7,12702379,29461,0.0551,0.2376
Pennsylvania,Salary Other,42,12702379,29461,0.3306,1.4256
Pennsylvania,Hourly Non-union,2,12702379,29461,0.0157,0.0679
Pennsylvania,Hourly Union,1,12702379,29461,0.0079,0.0339
Pennsylvania,Hourly Other,26,12702379,29461,0.2047,0.8825
Pennsylvania,Non-union,5,12702379,29461,0.0394,0.1697
Pennsylvania,Union,2,12702379,29461,0.0157,0.0679
Pennsylvania,Unknown,37,12702379,29461,0.2913,1.2559
Georgia,Salary Non-union,515,9687653,68782,5.316,7.4874
Georgia,Salary Union,5,9687653,68782,0.0516,0.0727
Georgia,Salary Other,100,9687653,68782,1.0322,1.4539
Georgia,Hourly Non-union,2,9687653,68782,0.0206,0.0291
Georgia,Hourly Union,1,9687653,68782,0.0103,0.0145
Georgia,Hourly Other,22,9687653,68782,0.2271,0.3199
Georgia,Non-union,5,9687653,68782,0.0516,0.0727
Georgia,Union,4,9687653,68782,0.0413,0.0582
Georgia,Unknown,43,9687653,68782,0.4439,0.6252
Indiana,Salary Non-union,207,6483802,20266,3.1926,10.2142
Indiana,Salary Union,4,6483802,20266,0.0617,0.1974
Indiana,Salary Other,82,6483802,20266,1.2647,4.0462
Indiana,Hourly Non-union,6,6483802,20266,0.0925,0.2961
Indiana,Hourly Other,5,6483802,20266,0.0771,0.2467
Indiana,Non-union,1,6483802,20266,0.0154,0.0493
Indiana,Union,4,6483802,20266,0.0617,0.1974
Indiana,Unknown,18,6483802,20266,0.2776,0.8882
Illinois,Salary Non-union,252,12830632,36586,1.964,6.8879
Illinois,Salary Union,10,12830632,36586,0.0779,0.2733
Illinois,Salary Other,51,12830632,36586,0.3975,1.394
Illinois,Hourly Non-union,5,12830632,36586,0.039,0.1367
Illinois,Hourly Union,2,12830632,36586,0.0156,0.0547
Illinois,Hourly Other,20,12830632,36586,0.1559,0.5467
Illinois,Non-union,3,12830632,36586,0.0234,0.082
Illinois,Union,1,12830632,36586,0.0078,0.0273
Illinois,Unknown,41,12830632,36586,0.3195,1.1206
Louisiana,Salary Non-union,57,4533372,9513,1.2573,5.9918
Louisiana,Salary Union,1,4533372,9513,0.0221,0.1051
Louisiana,Salary Other,17,4533372,9513,0.375,1.787
Louisiana,Hourly Other,6,4533372,9513,0.1324,0.6307
Louisiana,Non-union,2,4533372,9513,0.0441,0.2102
Louisiana,Unknown,7,4533372,9513,0.1544,0.7358
Maryland,Salary Non-union,115,5773552,13274,1.9918,8.6636
Maryland,Salary Union,3,5773552,13274,0.052,0.226
Maryland,Salary Other,25,5773552,13274,0.433,1.8834
Maryland,Hourly Non-union,2,5773552,13274,0.0346,0.1507
Maryland,Hourly Other,8,5773552,13274,0.1386,0.6027
Maryland,Non-union,2,5773552,13274,0.0346,0.1507
Maryland,Unknown,3,5773552,13274,0.052,0.226
Texas,Salary Non-union,678,25145561,86419,2.6963,7.8455
Texas,Salary Union,19,25145561,86419,0.0756,0.2199
Texas,Salary Other,80,25145561,86419,0.3181,0.9257
Texas,Hourly Non-union,10,25145561,86419,0.0398,0.1157
Texas,Hourly Union,4,25145561,86419,0.0159,0.0463
Texas,Hourly Other,36,25145561,86419,0.1432,0.4166
Texas,Non-union,18,25145561,86419,0.0716,0.2083
Texas,Union,4,25145561,86419,0.0159,0.0463
Texas,Unknown,112,25145561,86419,0.4454,1.296
Florida,Salary Non-union,571,18801310,46533,3.037,12.2709
Florida,Salary Union,15,18801310,46533,0.0798,0.3224
Florida,Salary Other,115,18801310,46533,0.6117,2.4714
Florida,Hourly Non-union,6,18801310,46533,0.0319,0.1289
Florida,Hourly Union,2,18801310,46533,0.0106,0.043
Florida,Hourly Other,60,18801310,46533,0.3191,1.2894
Florida,Non-union,8,18801310,46533,0.0426,0.1719
Florida,Union,3,18801310,46533,0.016,0.0645
Florida,Unknown,73,18801310,46533,0.3883,1.5688
Oklahoma,Salary Non-union,31,3751351,8554,0.8264,3.624
Oklahoma,Salary Union,1,3751351,8554,0.0267,0.1169
Oklahoma,Salary Other,18,3751351,8554,0.4798,2.1043
Oklahoma,Hourly Non-union,1,3751351,8554,0.0267,0.1169
Oklahoma,Hourly Other,1,3751351,8554,0.0267,0.1169
Oklahoma,Non-union,2,3751351,8554,0.0533,0.2338
Oklahoma,Unknown,7,3751351,8554,0.1866,0.8183
Iowa,Salary Non-union,58,3046355,7809,1.9039,7.4273
Iowa,Salary Other,8,3046355,7809,0.2626,1.0245
Iowa,Hourly Other,5,3046355,7809,0.1641,0.6403
Iowa,Non-union,1,3046355,7809,0.0328,0.1281
Iowa,Union,1,3046355,7809,0.0328,0.1281
Iowa,Unknown,14,3046355,7809,0.4596,1.7928
California,Salary Non-union,1290,37253956,110781,3.4627,11.6446
California,Salary Union,15,37253956,110781,0.0403,0.1354
California,Salary Other,87,37253956,110781,0.2335,0.7853
California,Hourly Non-union,16,37253956,110781,0.0429,0.1444
California,Hourly Union,252,37253956,110781,0.6764,2.2748
California,Hourly Other,55,37253956,110781,0.1476,0.4965
California,Non-union,11,37253956,110781,0.0295,0.0993
California,Union,3,37253956,110781,0.0081,0.0271
California,Unknown,117,37253956,110781,0.3141,1.0561
Wisconsin,Salary Non-union,112,5686986,11819,1.9694,9.4763
Wisconsin,Salary Union,5,5686986,11819,0.0879,0.423
Wisconsin,Salary Other,19,5686986,11819,0.3341,1.6076
Wisconsin,Hourly Non-union,5,5686986,11819,0.0879,0.423
Wisconsin,Hourly Other,17,5686986,11819,0.2989,1.4384
Wisconsin,Non-union,3,5686986,11819,0.0528,0.2538
Wisconsin,Union,1,5686986,11819,0.0176,0.0846
Wisconsin,Unknown,10,5686986,11819,0.1758,0.8461
Michigan,Salary Non-union,546,9883640,60017,5.5243,9.0974
Michigan,Salary Union,21,9883640,60017,0.2125,0.3499
Michigan,Salary Other,407,9883640,60017,4.1179,6.7814
Michigan,Hourly Non-union,38,9883640,60017,0.3845,0.6332
Michigan,Hourly Union,5,9883640,60017,0.0506,0.0833
Michigan,Hourly Other,31,9883640,60017,0.3136,0.5165
Michigan,Non-union,7,9883640,60017,0.0708,0.1166
Michigan,Union,28,9883640,60017,0.2833,0.4665
Michigan,Unknown,22,9883640,60017,0.2226,0.3666
Mississippi,Salary Non-union,97,2967297,17188,3.269,5.6435
Mississippi,Salary Union,2,2967297,17188,0.0674,0.1164
Mississippi,Salary Other,13,2967297,17188,0.4381,0.7563
Mississippi,Hourly Non-union,3,2967297,17188,0.1011,0.1745
Mississippi,Hourly Union,1,2967297,17188,0.0337,0.0582
Mississippi,Hourly Other,9,2967297,17188,0.3033,0.5236
Mississippi,Union,1,2967297,17188,0.0337,0.0582
Mississippi,Unknown,3,2967297,17188,0.1011,0.1745
Maine,Salary Non-union,14,1328361,2387,1.0539,5.8651
Maine,Salary Other,2,1328361,2387,0.1506,0.8379
Maine,Hourly Other,1,1328361,2387,0.0753,0.4189
Maine,Non-union,1,1328361,2387,0.0753,0.4189
Nevada,Salary Non-union,65,2700551,7302,2.4069,8.9017
Nevada,Salary Union,1,2700551,7302,0.037,0.1369
Nevada,Salary Other,2,2700551,7302,0.0741,0.2739
Nevada,Hourly Non-union,1,2700551,7302,0.037,0.1369
Nevada,Hourly Union,8,2700551,7302,0.2962,1.0956
Nevada,Hourly Other,6,2700551,7302,0.2222,0.8217
Nevada,Non-union,1,2700551,7302,0.037,0.1369
