STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,1824,11536504,51710,15.8107,35.2736
Arkansas,169,2915918,6972,5.7958,24.2398
New York,754,19378102,38153,3.891,19.7625
Pennsylvania,837,12702379,29461,6.5893,28.4104
Georgia,1547,9687653,68782,15.9688,22.4913
Indiana,681,6483802,20266,10.5031,33.6031
Illinois,901,12830632,36586,7.0223,24.6269
Louisiana,203,4533372,9513,4.4779,21.3392
Maryland,397,5773552,13274,6.8762,29.9081
Texas,1677,25145561,86419,6.6692,19.4055
Florida,1202,18801310,46533,6.3932,25.8311
Oklahoma,162,3751351,8554,4.3184,18.9385
Iowa,211,3046355,7809,6.9263,27.0201
California,3889,37253956,110781,10.4392,35.1053
Wisconsin,359,5686986,11819,6.3127,30.3748
Michigan,2226,9883640,60017,22.5221,37.0895
Mississippi,267,2967297,17188,8.9981,15.5341
Maine,41,1328361,2387,3.0865,17.1764
Nevada,145,2700551,7302,5.3693,19.8576
Minnesota,371,5303925,10881,6.9948,34.0961
Tennessee,802,6346105,39193,12.6377,20.4628
Kentucky,296,4339367,12082,6.8213,24.4993
Arizona,764,6392017,24762,11.9524,30.8537
New Mexico,59,2059179,2122,2.8652,27.804
Virginia,444,8001024,16696,5.5493,26.5932
Wyoming,23,563626,756,4.0807,30.4233
Missouri,891,5988927,30140,14.8775,29.562
Washington,364,6724540,18780,5.413,19.3823
Idaho,82,1567582,2345,5.231,34.968
West Virginia,88,1852994,3558,4.7491,24.733
Massachusetts,600,6547629,27050,9.1636,22.1811
North Carolina,453,9535483,22713,4.7507,19.9445
Oregon,329,3831074,15289,8.5877,21.5187
Rhode Island,116,1052567,4223,11.0207,27.4686
Colorado,401,5029196,12893,7.9734,31.1021
Connecticut,249,3574097,14366,6.9668,17.3326
New Hampshire,83,1316470,3257,6.3047,25.4836
New Jersey,562,8791894,25601,6.3923,21.9523
Alabama,371,4779736,19688,7.7619,18.844
Alaska,27,710231,1193,3.8016,22.632
South Carolina,202,4625364,8448,4.3672,23.911
Kansas,154,2853118,7854,5.3976,19.6078
Delaware,205,897934,8224,22.8302,24.927
Utah,499,2763885,11502,18.0543,43.3838
Nebraska,113,1826341,4084,6.1872,27.669
Montana,39,989415,1110,3.9417,35.1351
North Dakota,31,672591,829,4.609,37.3945
South Dakota,37,814180,1257,4.5444,29.4352
Hawaii,3,1360301,230,0.2205,13.0435
Vermont,23,625741,686,3.6756,33.5277
