STATE,INDSTRY,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,"Oil & Gas Extraction, Mining",2,4779736,5730,0.0418,0.349
Alabama,"Manufacturing, Durable Goods",613,4779736,5730,12.825,106.9808
Alabama,"Manufacturing, Nondurable Goods",202,4779736,5730,4.2262,35.2531
Alabama,"Transportation, Communications, Utilities",446,4779736,5730,9.3311,77.836
Alabama,Retail Trade,63,4779736,5730,1.3181,10.9948
Alabama,"Finance, Insurance, Real Estate",80,4779736,5730,1.6737,13.9616
Alabama,Services,185,4779736,5730,3.8705,32.2862
Alabama,Wholesale,4,4779736,5730,0.0837,0.6981
Alabama,"Agriculture, Forestry, Fishing",0,4779736,5730,0,0
Alabama,Construction,0,4779736,5730,0,0
Alaska,"Oil & Gas Extraction, Mining",10,710231,257,1.408,38.9105
Alaska,"Manufacturing, Durable Goods",5,710231,257,0.704,19.4553
Alaska,"Manufacturing, Nondurable Goods",1,710231,257,0.1408,3.8911
Alaska,"Transportation, Communications, Utilities",11,710231,257,1.5488,42.8016
Alaska,Retail Trade,17,710231,257,2.3936,66.1479
Alaska,"Finance, Insurance, Real Estate",1,710231,257,0.1408,3.8911
Alaska,Services,48,710231,257,6.7584,186.7704
Alaska,"Agriculture, Forestry, Fishing",0,710231,257,0,0
Alaska,Construction,0,710231,257,0,0
Alaska,Wholesale,0,710231,257,0,0
Arizona,"Oil & Gas Extraction, Mining",111,6392017,7456,1.7365,14.8873
Arizona,"Manufacturing, Durable Goods",541,6392017,7456,8.4637,72.559
Arizona,"Manufacturing, Nondurable Goods",65,6392017,7456,1.0169,8.7178
Arizona,"Transportation, Communications, Utilities",267,6392017,7456,4.1771,35.8101
Arizona,Retail Trade,154,6392017,7456,2.4093,20.6545
Arizona,"Finance, Insurance, Real Estate",421,6392017,7456,6.5863,56.4646
Arizona,Services,1107,6392017,7456,17.3185,148.471
Arizona,Construction,8,6392017,7456,0.1252,1.073
Arizona,Wholesale,7,6392017,7456,0.1095,0.9388
Arizona,"Agriculture, Forestry, Fishing",0,6392017,7456,0,0
Arkansas,"Oil & Gas Extraction, Mining",10,2915918,2052,0.3429,4.8733
Arkansas,"Manufacturing, Durable Goods",214,2915918,2052,7.339,104.2885
Arkansas,"Manufacturing, Nondurable Goods",320,2915918,2052,10.9742,155.9454
Arkansas,"Transportation, Communications, Utilities",206,2915918,2052,7.0647,100.3899
Arkansas,Retail Trade,34,2915918,2052,1.166,16.5692
Arkansas,"Finance, Insurance, Real Estate",45,2915918,2052,1.5433,21.9298
Arkansas,Services,53,2915918,2052,1.8176,25.8285
Arkansas,Wholesale,7,2915918,2052,0.2401,3.4113
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,2052,0,0
Arkansas,Construction,0,2915918,2052,0,0
California,"Oil & Gas Extraction, Mining",30,37253956,40228,0.0805,0.7457
California,"Manufacturing, Durable Goods",946,37253956,40228,2.5393,23.516
California,"Manufacturing, Nondurable Goods",311,37253956,40228,0.8348,7.7309
California,"Transportation, Communications, Utilities",985,37253956,40228,2.644,24.4854
California,Retail Trade,286,37253956,40228,0.7677,7.1095
California,"Finance, Insurance, Real Estate",502,37253956,40228,1.3475,12.4789
California,Services,2269,37253956,40228,6.0906,56.4035
California,Construction,18,37253956,40228,0.0483,0.4474
California,Wholesale,24,37253956,40228,0.0644,0.5966
California,"Agriculture, Forestry, Fishing",0,37253956,40228,0,0
Colorado,"Oil & Gas Extraction, Mining",28,5029196,3198,0.5567,8.7555
Colorado,"Manufacturing, Durable Goods",225,5029196,3198,4.4739,70.3565
Colorado,"Manufacturing, Nondurable Goods",86,5029196,3198,1.71,26.8918
Colorado,"Transportation, Communications, Utilities",280,5029196,3198,5.5675,87.5547
Colorado,Retail Trade,116,5029196,3198,2.3065,36.2727
Colorado,"Finance, Insurance, Real Estate",97,5029196,3198,1.9287,30.3315
Colorado,Services,209,5029196,3198,4.1557,65.3533
Colorado,Construction,1,5029196,3198,0.0199,0.3127
Colorado,Wholesale,12,5029196,3198,0.2386,3.7523
Colorado,"Agriculture, Forestry, Fishing",0,5029196,3198,0,0
Connecticut,"Oil & Gas Extraction, Mining",3,3574097,3431,0.0839,0.8744
