STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Manufacturing, Durable Goods",4,11536504,51710,0.0347,0.0774
Ohio,"Manufacturing, Nondurable Goods",1,11536504,51710,0.0087,0.0193
Ohio,"Transportation, Communications, Utilities",7,11536504,51710,0.0607,0.1354
Ohio,Retail Trade,2,11536504,51710,0.0173,0.0387
Ohio,"Finance, Insurance, Real Estate",4,11536504,51710,0.0347,0.0774
Ohio,Services,5,11536504,51710,0.0433,0.0967
Ohio,"Oil & Gas Extraction, Mining",0,11536504,51710,0,0
Ohio,"Agriculture, Forestry, Fishing",0,11536504,51710,0,0
Ohio,Construction,0,11536504,51710,0,0
Ohio,Wholesale,0,11536504,51710,0,0
Arkansas,"Manufacturing, Durable Goods",4,2915918,6972,0.1372,0.5737
Arkansas,"Manufacturing, Nondurable Goods",1,2915918,6972,0.0343,0.1434
Arkansas,"Transportation, Communications, Utilities",2,2915918,6972,0.0686,0.2869
Arkansas,Retail Trade,1,2915918,6972,0.0343,0.1434
Arkansas,"Oil & Gas Extraction, Mining",0,2915918,6972,0,0
Arkansas,"Finance, Insurance, Real Estate",0,2915918,6972,0,0
Arkansas,Services,0,2915918,6972,0,0
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,6972,0,0
Arkansas,Construction,0,2915918,6972,0,0
Arkansas,Wholesale,0,2915918,6972,0,0
New York,"Manufacturing, Durable Goods",1,19378102,38153,0.0052,0.0262
New York,"Manufacturing, Nondurable Goods",1,19378102,38153,0.0052,0.0262
New York,"Transportation, Communications, Utilities",7,19378102,38153,0.0361,0.1835
New York,Retail Trade,3,19378102,38153,0.0155,0.0786
New York,"Finance, Insurance, Real Estate",3,19378102,38153,0.0155,0.0786
New York,"Oil & Gas Extraction, Mining",0,19378102,38153,0,0
New York,Services,0,19378102,38153,0,0
New York,"Agriculture, Forestry, Fishing",0,19378102,38153,0,0
New York,Construction,0,19378102,38153,0,0
New York,Wholesale,0,19378102,38153,0,0
Pennsylvania,"Manufacturing, Durable Goods",2,12702379,29461,0.0157,0.0679
Pennsylvania,"Transportation, Communications, Utilities",11,12702379,29461,0.0866,0.3734
Pennsylvania,Retail Trade,2,12702379,29461,0.0157,0.0679
Pennsylvania,"Finance, Insurance, Real Estate",2,12702379,29461,0.0157,0.0679
Pennsylvania,Services,1,12702379,29461,0.0079,0.0339
Pennsylvania,"Oil & Gas Extraction, Mining",0,12702379,29461,0,0
Pennsylvania,"Manufacturing, Nondurable Goods",0,12702379,29461,0,0
Pennsylvania,"Agriculture, Forestry, Fishing",0,12702379,29461,0,0
Pennsylvania,Construction,0,12702379,29461,0,0
Pennsylvania,Wholesale,0,12702379,29461,0,0
Georgia,"Manufacturing, Durable Goods",3,9687653,68782,0.031,0.0436
Georgia,"Manufacturing, Nondurable Goods",6,9687653,68782,0.0619,0.0872
Georgia,"Transportation, Communications, Utilities",6,9687653,68782,0.0619,0.0872
Georgia,Retail Trade,2,9687653,68782,0.0206,0.0291
Georgia,"Finance, Insurance, Real Estate",4,9687653,68782,0.0413,0.0582
Georgia,Services,5,9687653,68782,0.0516,0.0727
Georgia,"Oil & Gas Extraction, Mining",0,9687653,68782,0,0
Georgia,"Agriculture, Forestry, Fishing",0,9687653,68782,0,0
Georgia,Construction,0,9687653,68782,0,0
Georgia,Wholesale,0,9687653,68782,0,0
Indiana,"Manufacturing, Durable Goods",4,6483802,20266,0.0617,0.1974
Indiana,"Manufacturing, Nondurable Goods",2,6483802,20266,0.0308,0.0987
Indiana,"Transportation, Communications, Utilities",2,6483802,20266,0.0308,0.0987
Indiana,Retail Trade,3,6483802,20266,0.0463,0.148
Indiana,Services,1,6483802,20266,0.0154,0.0493
Indiana,"Oil & Gas Extraction, Mining",0,6483802,20266,0,0
Indiana,"Finance, Insurance, Real Estate",0,6483802,20266,0,0
Indiana,"Agriculture, Forestry, Fishing",0,6483802,20266,0,0
Indiana,Construction,0,6483802,20266,0,0
Indiana,Wholesale,0,6483802,20266,0,0
Illinois,"Manufacturing, Durable Goods",1,12830632,36586,0.0078,0.0273
Illinois,"Manufacturing, Nondurable Goods",2,12830632,36586,0.0156,0.0547
Illinois,"Transportation, Communications, Utilities",4,12830632,36586,0.0312,0.1093
Illinois,Retail Trade,3,12830632,36586,0.0234,0.082
Illinois,"Finance, Insurance, Real Estate",3,12830632,36586,0.0234,0.082
Illinois,Services,3,12830632,36586,0.0234,0.082
Illinois,"Oil & Gas Extraction, Mining",0,12830632,36586,0,0
Illinois,"Agriculture, Forestry, Fishing",0,12830632,36586,0,0
Illinois,Construction,0,12830632,36586,0,0
Illinois,Wholesale,0,12830632,36586,0,0
Louisiana,"Oil & Gas Extraction, Mining",2,4533372,9513,0.0441,0.2102
Louisiana,"Manufacturing, Nondurable Goods",1,4533372,9513,0.0221,0.1051
Louisiana,Retail Trade,1,4533372,9513,0.0221,0.1051
Louisiana,"Finance, Insurance, Real Estate",1,4533372,9513,0.0221,0.1051
Louisiana,Services,2,4533372,9513,0.0441,0.2102
Louisiana,"Manufacturing, Durable Goods",0,4533372,9513,0,0
Louisiana,"Transportation, Communications, Utilities",0,4533372,9513,0,0
Louisiana,"Agriculture, Forestry, Fishing",0,4533372,9513,0,0
Louisiana,Construction,0,4533372,9513,0,0
Louisiana,Wholesale,0,4533372,9513,0,0
Maryland,"Transportation, Communications, Utilities",4,5773552,13274,0.0693,0.3013
Maryland,Wholesale,1,5773552,13274,0.0173,0.0753
Maryland,"Oil & Gas Extraction, Mining",0,5773552,13274,0,0
Maryland,"Manufacturing, Durable Goods",0,5773552,13274,0,0
Maryland,"Manufacturing, Nondurable Goods",0,5773552,13274,0,0
Maryland,Retail Trade,0,5773552,13274,0,0
Maryland,"Finance, Insurance, Real Estate",0,5773552,13274,0,0
Maryland,Services,0,5773552,13274,0,0
Maryland,"Agriculture, Forestry, Fishing",0,5773552,13274,0,0
Maryland,Construction,0,5773552,13274,0,0
Texas,"Oil & Gas Extraction, Mining",3,25145561,86419,0.0119,0.0347
Texas,"Manufacturing, Durable Goods",3,25145561,86419,0.0119,0.0347
Texas,"Manufacturing, Nondurable Goods",1,25145561,86419,0.004,0.0116
Texas,"Transportation, Communications, Utilities",12,25145561,86419,0.0477,0.1389
Texas,Retail Trade,3,25145561,86419,0.0119,0.0347
Texas,"Finance, Insurance, Real Estate",13,25145561,86419,0.0517,0.1504
Texas,Services,7,25145561,86419,0.0278,0.081
Texas,"Agriculture, Forestry, Fishing",0,25145561,86419,0,0
Texas,Construction,0,25145561,86419,0,0
Texas,Wholesale,0,25145561,86419,0,0
Florida,"Manufacturing, Durable Goods",12,18801310,46533,0.0638,0.2579
Florida,"Manufacturing, Nondurable Goods",2,18801310,46533,0.0106,0.043
Florida,"Transportation, Communications, Utilities",10,18801310,46533,0.0532,0.2149
Florida,Retail Trade,8,18801310,46533,0.0426,0.1719
Florida,"Finance, Insurance, Real Estate",8,18801310,46533,0.0426,0.1719
Florida,Services,19,18801310,46533,0.1011,0.4083
Florida,"Oil & Gas Extraction, Mining",0,18801310,46533,0,0
Florida,"Agriculture, Forestry, Fishing",0,18801310,46533,0,0
Florida,Construction,0,18801310,46533,0,0
Florida,Wholesale,0,18801310,46533,0,0
Oklahoma,"Oil & Gas Extraction, Mining",1,3751351,8554,0.0267,0.1169
Oklahoma,"Manufacturing, Durable Goods",1,3751351,8554,0.0267,0.1169
Oklahoma,"Transportation, Communications, Utilities",2,3751351,8554,0.0533,0.2338
Oklahoma,"Finance, Insurance, Real Estate",3,3751351,8554,0.08,0.3507
Oklahoma,"Manufacturing, Nondurable Goods",0,3751351,8554,0,0
Oklahoma,Retail Trade,0,3751351,8554,0,0
Oklahoma,Services,0,3751351,8554,0,0
Oklahoma,"Agriculture, Forestry, Fishing",0,3751351,8554,0,0
Oklahoma,Construction,0,3751351,8554,0,0
Oklahoma,Wholesale,0,3751351,8554,0,0
Iowa,"Manufacturing, Durable Goods",2,3046355,7809,0.0657,0.2561
Iowa,"Manufacturing, Nondurable Goods",2,3046355,7809,0.0657,0.2561
Iowa,"Transportation, Communications, Utilities",2,3046355,7809,0.0657,0.2561
Iowa,"Oil & Gas Extraction, Mining",0,3046355,7809,0,0
Iowa,Retail Trade,0,3046355,7809,0,0
Iowa,"Finance, Insurance, Real Estate",0,3046355,7809,0,0
Iowa,Services,0,3046355,7809,0,0
Iowa,"Agriculture, Forestry, Fishing",0,3046355,7809,0,0
Iowa,Construction,0,3046355,7809,0,0
Iowa,Wholesale,0,3046355,7809,0,0
California,"Oil & Gas Extraction, Mining",1,37253956,110781,0.0027,0.009
California,"Manufacturing, Durable Goods",8,37253956,110781,0.0215,0.0722
California,"Transportation, Communications, Utilities",6,37253956,110781,0.0161,0.0542
California,Retail Trade,5,37253956,110781,0.0134,0.0451
California,"Finance, Insurance, Real Estate",2,37253956,110781,0.0054,0.0181
California,Services,38,37253956,110781,0.102,0.343
California,"Manufacturing, Nondurable Goods",0,37253956,110781,0,0
California,"Agriculture, Forestry, Fishing",0,37253956,110781,0,0
California,Construction,0,37253956,110781,0,0
California,Wholesale,0,37253956,110781,0,0
Wisconsin,"Manufacturing, Nondurable Goods",7,5686986,11819,0.1231,0.5923
Wisconsin,"Finance, Insurance, Real Estate",4,5686986,11819,0.0703,0.3384
Wisconsin,Services,2,5686986,11819,0.0352,0.1692
Wisconsin,"Oil & Gas Extraction, Mining",0,5686986,11819,0,0
Wisconsin,"Manufacturing, Durable Goods",0,5686986,11819,0,0
Wisconsin,"Transportation, Communications, Utilities",0,5686986,11819,0,0
Wisconsin,Retail Trade,0,5686986,11819,0,0
Wisconsin,"Agriculture, Forestry, Fishing",0,5686986,11819,0,0
Wisconsin,Construction,0,5686986,11819,0,0
Wisconsin,Wholesale,0,5686986,11819,0,0
Michigan,"Manufacturing, Durable Goods",5,9883640,60017,0.0506,0.0833
Michigan,"Transportation, Communications, Utilities",2,9883640,60017,0.0202,0.0333
Michigan,"Finance, Insurance, Real Estate",2,9883640,60017,0.0202,0.0333
Michigan,Services,7,9883640,60017,0.0708,0.1166
Michigan,"Oil & Gas Extraction, Mining",0,9883640,60017,0,0
Michigan,"Manufacturing, Nondurable Goods",0,9883640,60017,0,0
Michigan,Retail Trade,0,9883640,60017,0,0
Michigan,"Agriculture, Forestry, Fishing",0,9883640,60017,0,0
Michigan,Construction,0,9883640,60017,0,0
Michigan,Wholesale,0,9883640,60017,0,0
Mississippi,"Manufacturing, Nondurable Goods",1,2967297,17188,0.0337,0.0582
Mississippi,"Transportation, Communications, Utilities",4,2967297,17188,0.1348,0.2327
Mississippi,Retail Trade,1,2967297,17188,0.0337,0.0582
Mississippi,"Oil & Gas Extraction, Mining",0,2967297,17188,0,0
Mississippi,"Manufacturing, Durable Goods",0,2967297,17188,0,0
